ID number,q0,q1,q2,q3,q4
0,2.0,61.0,4.0,21.0,
1,1.0,22.0,3.0,,15.0
2,2.0,22.0,1.0,4.0,
3,2.0,30.0,2.0,4.0,
4,2.0,38.0,1.0,,6.0
5,2.0,39.0,5.0,,8.0
6,2.0,20.0,1.0,9.0,
7,2.0,34.0,3.0,,11.0
8,2.0,58.0,1.0,8.0,
9,2.0,51.0,4.0,10.0,
10,2.0,24.0,4.0,4.0,
11,2.0,58.0,1.0,,7.0
12,1.0,18.0,3.0,,21.0
13,2.0,26.0,3.0,,10.0
14,2.0,36.0,4.0,13.0,
15,2.0,50.0,1.0,,4.0
16,2.0,38.0,4.0,6.0,
17,2.0,39.0,4.0,,17.0
18,2.0,33.0,4.0,9.0,
19,2.0,27.0,4.0,,17.0
20,2.0,57.0,5.0,,22.0
21,2.0,43.0,4.0,,18.0
22,2.0,47.0,4.0,,11.0
23,2.0,64.0,1.0,8.0,
24,2.0,64.0,1.0,9.0,
25,2.0,61.0,4.0,,14.0
26,2.0,30.0,1.0,8.0,
27,1.0,34.0,4.0,,17.0
28,2.0,41.0,4.0,,16.0
29,2.0,36.0,4.0,,4.0
30,2.0,31.0,4.0,11.0,
31,1.0,18.0,1.0,7.0,
32,1.0,34.0,4.0,13.0,
33,2.0,62.0,4.0,14.0,
34,1.0,46.0,1.0,,8.0
35,1.0,53.0,4.0,13.0,
36,2.0,58.0,1.0,,9.0
37,2.0,48.0,4.0,20.0,
38,2.0,50.0,2.0,,12.0
39,1.0,52.0,4.0,,19.0
40,1.0,47.0,4.0,14.0,
41,1.0,36.0,3.0,,15.0
42,2.0,34.0,1.0,,22.0
43,2.0,36.0,4.0,11.0,
44,2.0,26.0,4.0,9.0,
45,2.0,20.0,3.0,,16.0
46,2.0,33.0,4.0,8.0,
47,1.0,54.0,4.0,,16.0
48,1.0,55.0,2.0,,5.0
49,2.0,53.0,5.0,,7.0
50,2.0,61.0,4.0,19.0,
51,2.0,47.0,4.0,,17.0
52,2.0,20.0,3.0,,5.0
53,1.0,45.0,4.0,13.0,
54,1.0,23.0,3.0,8.0,
55,1.0,27.0,4.0,11.0,
56,1.0,59.0,4.0,,17.0
57,1.0,63.0,1.0,7.0,
58,1.0,54.0,4.0,15.0,
59,2.0,46.0,4.0,14.0,
60,2.0,62.0,4.0,7.0,
61,2.0,25.0,1.0,,13.0
62,2.0,47.0,4.0,,16.0
63,1.0,64.0,4.0,,9.0
64,1.0,18.0,2.0,,11.0
65,1.0,37.0,1.0,,15.0
66,2.0,56.0,4.0,,16.0
67,1.0,38.0,4.0,6.0,
68,2.0,21.0,3.0,4.0,
69,2.0,34.0,1.0,,6.0
